,prediction_p,perfect_p,modification_p,prediction_s,perfect_s,modification_s
0,4.711089616415722e-46,4.711089616415722e-46,4.711089616415722e-46,37474.0,37474.0,37474.0
1,6.114185066832546e-31,6.114185066832546e-31,6.114185066832546e-31,16673.5,16673.5,16673.5
2,5.072148930288112e-95,5.072148930288112e-95,5.072148930288112e-95,167098.0,167098.0,167098.0
3,2.3014140956234314e-61,2.3014140956234314e-61,2.3014140956234314e-61,68575.5,68575.5,68575.5
4,4.225174367177275e-140,4.225174367177275e-140,4.225174367177275e-140,366263.0,366263.0,366263.0
5,6.105197220329811e-78,6.105197220329811e-78,6.105197220329811e-78,111934.5,111934.5,111934.5
6,4.796717657098226e-153,4.796717657098226e-153,4.796717657098226e-153,432145.0,432145.0,432145.0
7,2.740581917598851e-125,2.740581917598851e-125,2.740581917598851e-125,294544.5,294544.5,294544.5
8,1.5626210224067004e-108,1.5626210224067004e-108,1.5626210224067004e-108,217927.0,217927.0,217927.0
9,1.4355629223791767e-14,1.4355629223791767e-14,1.4355629223791767e-14,3860.5,3860.5,3860.5
